Cahier-17:55

Measure,Noise level,db
Date,24/3/2022,17:56
Comment,Time (s),Value
0,0.0,12.510942092461555
1,0.136054443359375,21.930901525295088
2,0.27210888671875,28.86569720195489
3,0.408163330078125,34.00357164197398
4,0.5442177734375,37.880052103441585
5,0.680272216796875,40.76535332387304
6,0.81632666015625,42.96973068748346
7,0.952381103515625,44.86845987702223
8,1.088435546875,46.22795763283976
9,1.224489990234375,47.87025565665349
10,1.36054443359375,48.171939053736835
11,1.496598876953125,48.49372533249436
12,1.6326533203125,48.961933254902455
13,1.768707763671875,49.45269186141095
14,1.90476220703125,49.80795073181925
15,2.040816650390625,50.0913016934068
16,2.17687109375,50.42618187974604
17,2.312925537109375,50.555310911871246
18,2.44897998046875,50.585301263149944
19,2.585034423828125,50.6429091368591
20,2.7210888671875,50.731191652139984
21,2.857143310546875,50.94063717922171
22,2.99319775390625,51.456587947207495
23,3.129252197265625,51.733885220166194
24,3.265306640625,52.00859506164725
25,3.401361083984375,51.88740974766202
26,3.53741552734375,51.608193303442654
27,3.673469970703125,51.37520030214271
28,3.8095244140625,51.225078124969016
29,3.945578857421875,51.25591581057408
30,4.08163330078125,51.33883201842767
31,4.217687744140625,51.253042694795404
32,4.3537421875,51.084159569355855
33,4.489796630859375,50.95419477845935
34,4.62585107421875,50.821884334743785
35,4.761905517578125,50.69796380870313
36,4.8979599609375,50.97302767385269
37,5.034014404296875,50.895171770682204
38,5.17006884765625,50.64860464763497
39,5.306123291015625,50.52106667566799
40,5.442177734375,50.77136644029814
41,5.578232177734375,54.27832383417953
42,5.71428662109375,55.52054850509508
43,5.850341064453125,54.44147734494773
44,5.9863955078125,54.83052016491062
45,6.122449951171875,53.87452773776499
46,6.25850439453125,53.108602815284186
47,6.394558837890625,52.455332843327135
48,6.53061328125,52.05235265181932
49,6.666667724609375,51.776625743030955
50,6.80272216796875,51.6630868242572
51,6.938776611328125,51.3031079308364
52,7.0748310546875,51.15646171161744
53,7.210885498046875,50.95475230472163
54,7.34693994140625,51.03586556419533
55,7.482994384765625,51.05503796679218
56,7.619048828125,51.20986162527301
57,7.755103271484375,51.79215474402392
58,7.89115771484375,52.101610830465006
59,8.027212158203126,52.108030564239485
60,8.1632666015625,57.20686174719265
61,8.299321044921875,61.638816054111864
62,8.43537548828125,63.36534415799758
63,8.571429931640624,61.54904950588701
64,8.707484375,59.15580387735313
65,8.843538818359375,57.24206247374923
66,8.97959326171875,55.743515192752355
67,9.115647705078125,54.744188682869414
68,9.2517021484375,53.81772992018084
69,9.387756591796874,53.25221552834182
70,9.52381103515625,52.929214535424386
71,9.659865478515625,52.7981147489599
72,9.795919921875,52.64753328686057
73,9.931974365234375,52.77455172170898
74,10.06802880859375,52.686952636608
75,10.204083251953126,52.987806439905235
76,10.3401376953125,53.302126368800394
77,10.476192138671875,53.28376634438233
78,10.61224658203125,53.28794068847341
79,10.748301025390624,53.025302796762304
80,10.88435546875,52.860711393465394
81,11.020409912109375,52.71805143595503
82,11.15646435546875,52.5204539418541
83,11.292518798828125,53.40920919098728
84,11.4285732421875,57.10839980169769
85,11.564627685546874,60.26041752385322
86,11.70068212890625,61.0353212314762
87,11.836736572265625,61.089984731617534
88,11.972791015625,63.02680449079218
89,12.108845458984375,64.2902262942098
90,12.24489990234375,64.80178866846742
91,12.380954345703126,65.19790158760925
92,12.5170087890625,64.97977440036622
93,12.653063232421875,63.588438508138076
94,12.78911767578125,64.6741019325335
95,12.925172119140624,65.50736267439463
96,13.0612265625,66.12167062912111
97,13.197281005859375,66.33735868429484
98,13.33333544921875,66.88175375841449
99,13.469389892578125,67.0654824503112
100,13.6054443359375,67.21542920419508
101,13.741498779296874,67.48684830040878
102,13.87755322265625,67.20240791809549
103,14.013607666015625,63.682150655106284
104,14.149662109375,60.921958774791364
105,14.285716552734375,58.79221457754732
106,14.42177099609375,57.10822719189109
107,14.557825439453126,55.952192433747065
108,14.6938798828125,55.16219745101067
109,14.829934326171875,54.45282675606562
110,14.96598876953125,54.11229065333948
111,15.102043212890624,53.87095322412797
112,15.23809765625,53.787215909957716
113,15.374152099609375,53.760774121295086
114,15.51020654296875,53.69143009071687
115,15.646260986328125,53.69435557276809
116,15.7823154296875,53.653775196259694
117,15.918369873046874,53.74239950262487
118,16.05442431640625,53.833928457841104
119,16.190478759765625,53.72941483820952
120,16.326533203125,53.7466967946828
121,16.462587646484376,53.60984258168812
122,16.59864208984375,53.60074323301282
123,16.734696533203124,53.44574835279304
124,16.8707509765625,53.2032191015106
125,17.006805419921875,52.960190017378984
126,17.14285986328125,52.95710123002729
127,17.278914306640626,52.62501272703134
128,17.41496875,52.37644474741344
129,17.551023193359374,52.14297800377114
130,17.68707763671875,53.17709517240787
131,17.823132080078125,56.88580501204283
132,17.9591865234375,59.60908946000378
133,18.095240966796876,61.570409606785034
134,18.23129541015625,63.22367974962772
135,18.367349853515623,64.57641767487762
136,18.503404296875,65.4519553904912
137,18.639458740234375,66.02697613671289
138,18.77551318359375,66.58018747571096
139,18.911567626953126,67.17173647243534
140,19.0476220703125,66.99215832646603
141,19.183676513671877,62.97688895648514
142,19.31973095703125,59.653314343400766
143,19.455785400390624,57.331153864264
144,19.59183984375,55.51653435120023
145,19.727894287109375,54.130763976477105
146,19.86394873046875,53.273560750808656
147,20.000003173828127,52.54380780943825
148,20.1360576171875,52.03297063058765
149,20.272112060546874,52.24873431643841
150,20.40816650390625,52.87472826274791
151,20.544220947265625,52.69983927481523
152,20.680275390625,52.95163641533822
153,20.816329833984376,52.52510723411202
